Universal Print,?,,,?,?,,
Windows Autopatch,?,,,?,?,,"I think this is configured as part of update policies - if not, we should be switching workstations to Autopatch"
Windows Conditional Access,?,,,?,,,
Windows Firewall,?,,,?,?,,
Windows Hello for Business,?,,,?,?,,
Windows Update for Business,?,,,?,?,,
Windows Virtualization Rights,?,,,?,,,
Windows 11 Support Period,36 months,,,36 months,,,
Suite Value,,,,,,,
Adaptive Protection,,,?,?,,,
Defender for IoT - eIoT (5 devices),,?,,?,,,
Endpoint DLP,,,?,?,,?,This will become more important as we move deeper into DLP
FastTrack,?,?,?,?,,,
Insider Risk Management,,,?,?,,,
Loop Workspaces,?,,,?,,,
Minecraft Education Edition,,,,,,?,"Coz, why not? - Agreed!"
Office Professional Plus,?,,,?,,,
Office Servers,?,,,?,,,
Safe Documents,,?,,?,,,
Security Copilot,,,,?,,,
Sentinel Benefit,,?,,?,,,
Student Use Benefits,,,,,,,
Trainable Classifiers,,,?,?,,?,This will become more important as we move deeper into DLP
Related Services,,,,,,,
Security & Compliance,,,,,,,
10-Year Audit Log Retention,,,+,+,,?,We should be enabling this
AccountGuard,+,,,+,,?,
Advanced Data Residency,+,,,+,,,
Azure Automation,?,?,?,?,,,
Azure Backup,?,?,?,?,?,,
Azure Bastion,?,?,?,?,?,,
Azure Log Analytics,?,?,?,?,?,,
Azure RBAC,?,?,?,?,?,,
Azure Update Manager,?,?,?,?,?,,
Compliance Premium Assessments,+,,,+,,,
Cross-Tenant Migration,+,,,+,,,
Defender CSPM,?,?,?,?,,,
Defender EASM,?,?,?,?,,,
Defender for Business,,,,,,,
Defender for Business Servers,,,,,,,
Defender for Cloud,?,?,?,?,?,,
Defender for Servers,?,?,?,?,?,,
Defender Suite,+,?,,?,?,,
Defender Threat Intelligence,?,?,?,?,?,,
Defender Threat Intelligence API,?,?,?,?,?,,
Defender Vulnerability Management (premium),,+,,+,?,,
 > Authenticated Scan For Windows,?,?,?,?,,?,
 > Block Vulnerable Applications,?,?,?,?,,,
 > Browser Extensions Assessment,?,?,?,?,,,
 > Digital Certificate Assessment,?,?,?,?,,,
 > Hardware & Firmware Assessment,?,?,?,?,,,
 > Network Share Analysis,?,?,?,?,,,
 > Security Baselines Assessment,?,?,?,?,,,
 > Defender Vulnerability Management (core),,?,,?,,,"We now have Qualys and soon Tenable One, this could be reviewed in more detail."
 > > Configuration Assessment,,?,,?,,,
 > > Continuous Monitoring,,?,,?,,,
 > > Device Discovery,,?,,?,?,,
 > > Device Inventory,,?,,?,?,,
 > > Remediation Tracking,,?,,?,,,
 > > Risk Based Prioritization,,?,,?,,,
 > > Software Inventory,,?,,?,?,,Qualys & Tenable One may provide this functionality as well
 > > Software Usage Insights,,?,,?,,,
 > > Vulnerability Assessment,,?,,?,,,
Insider Risk Management Forensic Evidence,,,+,+,,,
Intune Suite,+,,,?,,,
 > Intune Advanced Analytics,?,,,?,,,
 > Intune Cloud PKI,+,,,?,,,
 > Intune Endpoint Privilege Management,+,,,?,,,
 > Intune Enterprise App Management,+,,,?,,,
 > Intune Remote Help,?,,,?,,,
 > Intune Plan 2,?,,,?,,,
 > > Firmware Over-the-Air Updates,?,?,?,?,,,
 > > Specialty Device Management,?,?,?,?,,,
 > > Tunnel for MAM,?,?,?,?,,,
Microsoft 365 Archive,?,?,?,?,,,
Microsoft 365 Backup,?,?,?,?,,,
Microsoft 365 Lighthouse,+,,,+,?,,
Microsoft Sentinel,?,?,?,?,?,,
Microsoft Tunnel,+,,,+,,,
Multi-Geo,+,,,+,,,
Purview Suite,+,,?,?,?,,
Security Copilot,?,?,?,?,,?,
SharePoint Advanced Management Plan 1,+,,,+,,,
 > Restricted Site Creation by Users,?,,,?,,,
 > SharePoint Advanced Management for Copilot,?,,,?,,,
 > > Advanced Tenant Rename,?,,,?,,,
 > > Agent Content Access Insights,?,,,?,,,
 > > Agent Insights,?,,,?,,,
 > > AI-Powered Insights,?,,,?,,,
 > > Block Download Policy,?,,,?,,,
 > > Compare Site Policies,?,,,?,,,
 > > Conditional Access for Sites,?,,,?,,,
 > > Content Management Assessments,?,,,?,,,
 > > Data Access Governance Reports,?,,,?,,,
 > > Data Access Governance Reports PowerShell,?,,,?,,,
 > > Enterprise App Insight Reports,?,,,?,,,
 > > Inactive Sites Policy,?,,,?,,,
 > > Recent Site Actions,?,,,?,,,
 > > Request Site Attestation,?,,,?,,,
 > > Restricted Access Control for OneDrive,?,,,?,,,
 > > Restricted Access Control for SharePoint,?,,,?,,,
 > > Restricted Content Discovery,?,,,?,,,
 > > Restricted Site Creation by Apps,?,,,?,,,
 > > SharePoint App Insights,?,,,?,,,
 > > SharePoint Catalog Management,?,,,?,,,
 > > Site Access Review,?,,,?,,,
 > > Site Change History Reports,?,,,?,,,
 > > Site Ownership Policy,?,,,?,,,
Microsoft Entra,,,,,,,
Entra Domain Services,?,?,?,?,,,
Entra External ID,?,?,?,?,,,
Entra ID,?,?,?,?,,,
Entra Suite add-on to Entra ID Plan 1,+,,,,,,
 > Entra ID Protection,,?,,?,,,
 > Entra Suite add-on to Entra ID Plan 2,,+,,+,,,
 > > Entra Internet Access,+,,,+,,,
 > > Entra Private Access,+,,,+,,,
 > > Entra ID Governance,?,?,?,?,,,
 > > > Entitlement Management (premium),?,?,?,?,,,
 > > > Identity Governance Dashboard,?,?,?,?,,,
 > > > Lifecycle Workflows,?,?,?,?,,,
 > > > ML Assisted Access Reviews,?,?,?,?,,,
 > > Entra Verified ID Premium,?,?,?,?,,,
 > > > Face Check,?,?,?,?,,,
Entra Verified ID,?,,,?,,,
Entra Workload ID Premium,?,?,?,?,,,
 > Access Reviews,?,?,?,?,,,
 > Entra ID Protection,?,?,?,?,,,
 > Risk-Based Conditional Access,?,?,?,?,,,
 > Entra Workload ID Free,?,?,?,?,,,
 > > Basic Security & Usage Reports,?,?,?,?,,,
 > > Identity Federation,?,?,?,?,,,
Microsoft Priva,,,,,,,
Privacy Risk Management,+,,,+,,,
Subject Rights Requests,+,,,+,,,
Microsoft Purview,,,,,,,
Data Catalog,?,?,?,?,,,
Data Estate Insights,?,?,?,?,,,
Data Map,?,?,?,?,,,
Data Policy,?,?,?,?,,,
Microsoft Security Experts,,,,,,,
Defender Experts for Hunting,,+,,+,,?,
Defender Experts for XDR,,+,,+,,?,
Communications,,,,,,,
Azure Comm. Services,?,?,?,?,,,
Calling Plans,,,,+,,?,Planned for 2026 Telephony Modernization
Comms. Credits,,,,+,,,
Digital Contact Centre,?,?,?,?,,,
EHR Connector for Teams,+,,,+,,,
Teams Audio Conferencing (free add-on),?,?,?,?,,,
Teams Enterprise,+,,,+,,,
Teams Essentials,,,,,,,
Teams Operator Connect,,,,+,,?,Planned for 2026 Telephony Modernization
Teams Phone Mobile,?,?,?,?,,,
Teams Premium,+,,,+,,,
 > Advanced Collaboration Tools,?,,,?,,,
 > Advanced Meetings,?,,,?,,,
 > Advanced Meetings Protection,?,,,?,,,
 > Advanced Town Halls,?,,,?,,,
 > Advanced Virtual Appointments,?,,,?,,,
 > Advanced Webinars,?,,,?,,,
 > Immersive Mesh Experiences,?,,,?,,,
 > Intelligent Recap,?,,,?,,,
 > Live Caption Translation,?,,,?,,,
 > Microsoft eCDN,+,,,+,,,
 > Microsoft Places (enhanced),?,,,?,,,
 > PowerPoint Live Chapters,?,,,?,,,
 > Queues App,?,,,?,,?,Planned for 2026 Telephony Modernization
Teams Rooms,+,,,+,,,
Extra Capacity,,,,,,,
AI Builder Capacity,?,?,?,?,,,
Dataverse Storage,+,,,+,,,
SharePoint Storage,+,,,+,,,
Universal Print Jobs,+,,,+,,,
Support Services,,,,,,,
ProDirect Support for Azure,?,?,?,?,,,
ProDirect Support for Dynamics 365,?,?,?,?,,,
ProDirect Support for Microsoft 365,?,?,?,?,,,
Unified Support,?,?,?,?,,,
Education,,,,,,,
Azure Dev Tools for Teaching,,,,,,,
Class Notebook,,,,,,,
Employee Experience,,,,,,,
LinkedIn Learning,+,,,+,,,
Viva Suite,+,,,+,,,
 > Copilot in Viva Learning (preview),?,?,?,?,,,
 > Skills in Viva (preview),?,?,?,?,,,
 > Viva Learning (premium),+,,,+,,,
 > Viva Workplace Analytics & Employee Feedback,+,,,+,,,
 > > Copilot in Viva Glint,?,?,?,?,,,
 > > Viva Glint,+,,,+,,,
" > > Viva Insights - Manager, Leader, Analyst",+,,,+,,,
 > > Viva Pulse,?,?,?,?,,,
 > Viva Employee Communications & Communities,+,,,+,,,
 > > Copilot in Viva Amplify,?,?,?,?,,,
 > > Copilot in Viva Engage,?,?,?,?,,,
 > > Answers in Viva,?,?,?,?,,,
 > > People in Viva,?,?,?,?,,,
 > > Viva Amplify,?,?,?,?,,,
 > > Viva Connections (50 instances),?,?,?,?,,,
 > > Viva Engage (premium),?,?,?,?,,,
Power Platform,,,,,,,
AI Builder,?,?,?,?,,,
Copilot Studio,?,?,?,?,,,
Microsoft Dataverse,?,?,?,?,,,
Power Apps,?,?,?,?,,,
Power Automate,?,?,?,?,?,?,Used for customer-focused mailbox auto replies. Premium licensing would let us explore integration across hybrid env.
Power Automate Process Mining,?,?,?,?,,,
Power BI Premium,?,?,?,?,?,,There is 1 license. usage unclear
Power Pages,?,?,?,?,,,
Companion Products & Services,,,,,,,
App Assure,+,,,+,,,
Azure Virtual Desktop,?,?,?,?,,,
Clipchamp Standard,?,?,?,?,,,
Drive Shipping for PST import,?,?,?,?,,,
Dynamics 365 Customer Voice,?,?,?,?,,,
Microsoft Industry Clouds,?,?,?,?,,,
Microsoft 365 Dev Program,?,?,?,?,,,
Planner & Project,+,,,+,?,,
SharePoint Embedded,?,?,?,?,,,
Visio Online,+,,,+,,,
Windows 365 Business,?,?,?,?,,,
Windows 365 Enterprise,+,,,+,,,
Windows 365 Frontline,+,,,+,,,
Workplace Discount Program,+,,,+,,,
Automation & Intelligence,,,,,,,
Document Processing for Microsoft 365,+,,,+,,,
Microsoft 365 Copilot,+,,,+,,,
 > Copilot Actions,?,,,?,,,
 > Copilot Chat (Work),?,,,?,,,
 > Copilot Dashboard,?,,,?,,,
 > Copilot in Clipchamp,?,,,?,,,
 > Copilot in Excel,?,,,?,,,
 > Copilot in Forms,?,,,?,,,
 > Copilot in Loop,?,,,?,,,
 > Copilot in OneDrive,?,,,?,,,
 > Copilot in OneNote,?,,,?,,,
 > Copilot in Outlook,?,,,?,,,
 > Copilot in PowerPoint,?,,,?,,,
 > Copilot in Planner,?,,,?,,,
 > Copilot in SharePoint,?,,,?,,,
 > Copilot in Teams,?,,,?,,,
 > Copilot in Whiteboard,?,,,?,,,
 > Copilot in Word,?,,,?,,,
 > Copilot Notebooks,?,,,?,,,
 > Copilot Prompt Gallery,?,,,?,,,
 > Graph and Connector Access Included,?,,,?,,,
 > Intelligent Recap,?,,,?,,,
 > Intelligent Search,?,,,?,,,
 > Microsoft 365 Agents,?,,,?,,,
 > Microsoft Places (additional),?,,,?,,,
 > SharePoint Agents,?,,,?,,,
" > Viva Insights - Manager, Leader, Analyst",?,,,?,,,
 > Viva Pulse for Copilot,?,,,?,,,
 > Work IQ,?,,,?,,,
 > SharePoint Advanced Management for Copilot,?,,,?,,,
 > > Advanced Tenant Rename,?,,,?,,,
 > > Agent Content Access Insights,?,,,?,,,
 > > Agent Insights,?,,,?,,,
 > > AI-Powered Insights,?,,,?,,,
 > > Block Download Policy,?,,,?,,,
 > > Compare Site Policies,?,,,?,,,
 > > Conditional Access for Sites,?,,,?,,,
 > > Content Management Assessments,?,,,?,,,
 > > Data Access Governance Reports,?,,,?,,,
 > > Data Access Governance Reports PowerShell,?,,,?,,,
 > > Enterprise App Insight Reports,?,,,?,,,
 > > Inactive Sites Policy,?,,,?,,,
 > > Recent Site Actions,?,,,?,,,
 > > Request Site Attestation,?,,,?,,,
 > > Restricted Access Control for OneDrive,?,,,?,,,
 > > Restricted Access Control for SharePoint,?,,,?,,,
 > > Restricted Content Discovery,?,,,?,,,
 > > Restricted Site Creation by Apps,?,,,?,,,
 > > SharePoint App Insights,?,,,?,,,
 > > SharePoint Catalog Management,?,,,?,,,
 > > Site Access Review,?,,,?,,,
 > > Site Change History Reports,?,,,?,,,
 > > Site Ownership Policy,?,,,?,,,
 > Microsoft 365 Copilot Chat,?,,,?,?,,
 > > Copilot Chat (Web),?,,,?,?,,Installed but possibly not widely used
 > > Copilot Chat in Excel,?,,,?,?,,Installed but possibly not widely used
 > > Copilot Chat in OneNote,?,,,?,?,,Installed but possibly not widely used
 > > Copilot Chat in Outlook,?,,,?,?,,Installed but possibly not widely used
 > > Copilot Chat in PowerPoint,?,,,?,?,,Installed but possibly not widely used
 > > Copilot Chat in Word,?,,,?,?,,Installed but possibly not widely used
 > > Copilot Code Interpreter,?,,,?,,,
 > > Copilot File Upload,?,,,?,,,
 > > Copilot Image Generator,?,,,?,,,
 > > Copilot Pages,?,,,?,,,
 > > Create Agents,?,,,?,,,
 > > Graph Access in Agents (metered),?,,,?,,,
 > > Graph Connectors in Agents (metered),?,,,?,,,
Microsoft 365 Copilot for Sales,+,,,+,,,
Microsoft 365 Unattended RPA,?,?,?,?,,,
